Size,Site,Rainfall_min,Rainfall_max,Category,normd15N
1.506287333,TBR,-0.604953316,-0.361858044,wheat,7.375179946
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.841759039
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.532773163
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.86287812
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.357315797
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.279112589
1.506287333,TBR,-0.604953316,-0.361858044,wheat,3.624541818
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.049534061
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.859741516
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.944583072
1.506287333,TBR,-0.604953316,-0.361858044,wheat,7.627421945
1.506287333,TBR,-0.604953316,-0.361858044,barley,3.562275949
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.960199438
1.506287333,TBR,-0.604953316,-0.361858044,wheat,8.331391212
1.506287333,TBR,-0.604953316,-0.361858044,barley,2.87857014
1.506287333,TBR,-0.604953316,-0.361858044,barley,3.103769737
1.506287333,TBR,-0.604953316,-0.361858044,barley,2.462425922
1.506287333,TBR,-0.604953316,-0.361858044,barley,0.994817083
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.476773014
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.315569294
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.498062797
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.115579309
1.506287333,TBR,-0.604953316,-0.361858044,wheat,6.964043629
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.750337065
1.506287333,TBR,-0.604953316,-0.361858044,wheat,6.794855175
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.759772502
1.506287333,TBR,-0.604953316,-0.361858044,wheat,6.074714926
1.506287333,TBR,-0.604953316,-0.361858044,barley,3.084109932
1.506287333,TBR,-0.604953316,-0.361858044,barley,4.605069621
1.506287333,TBR,-0.604953316,-0.361858044,wheat,7.933954804
1.506287333,TBR,-0.604953316,-0.361858044,barley,7.265517793
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.30751933
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.1912554
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.351195238
1.506287333,TBR,-0.604953316,-0.361858044,wheat,5.231578939
1.506287333,TBR,-0.604953316,-0.361858044,barley,5.00545422
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.109888318
1.506287333,TBR,-0.604953316,-0.361858044,barley,3.300123204
1.506287333,TBR,-0.604953316,-0.361858044,barley,6.522341121
1.506287333,TBR,-0.604953316,-0.361858044,wheat,4.566379541
